"","year","CDC","AGI","state"
"2523","2014","8,231","9,330","OR"
"2524","2015","8,610","","OR"
"2525","2016","8,942","","OR"
"2526","2017","8,506","","OR"
"2527","2018","6,544","","OR"
"2528","year","abortions, reported(CDC/state)","abortions(AGI)","OR"
"2529","year","total in state","abortions(AGI)","OR"
"2530","year","total in state","abortions(AGI)","PA"
"2531","1930","","","PA"
"2532","1931","","","PA"
"2533","1932","","","PA"
"2534","1933","","","PA"
"2535","1934","","","PA"
"2536","1935","","","PA"
"2537","1936","","","PA"
"2538","1937","","","PA"
"2539","1938","","","PA"
"2540","1939","","","PA"
"2541","1940","","","PA"
"2542","1941","","","PA"
"2543","1942","","","PA"
"2544","1943","","","PA"
"2545","1944","","","PA"
"2546","1945","","","PA"
"2547","1946","","","PA"
"2548","1947","","","PA"
"2549","1948","","","PA"
"2550","1949","","","PA"
"2551","1950","","","PA"
"2552","1951","","","PA"
"2553","1952","","","PA"
"2554","1953","12","","PA"
"2555","1954","","","PA"
"2556","1955","","","PA"
"2557","1956","8","","PA"
"2558","1957","","","PA"
"2559","1958","","","PA"
"2560","1959","11","","PA"
"2561","1960","","","PA"
"2562","1961","","","PA"
"2563","1962","","","PA"
"2564","1963","","","PA"
"2565","1964","","","PA"
"2566","1965","","","PA"
"2567","1966","","","PA"
"2568","1967","","","PA"
"2569","1968","","","PA"
"2570","1969","","","PA"
"2571","1970","","","PA"
"2572","1971","","","PA"
"2573","1972","8,540","","PA"
"2574","1973","","29,920","PA"
"2575","1974","38,110","41,620","PA"
"2576","1975","43,319","47,450","PA"
"2577","1976","53,425","56,350","PA"
"2578","1977","57,880","62,040","PA"
"2579","1978","60,639","65,150","PA"
"2580","1979","64,147","64,920","PA"
"2581","1980","65,777","68,910","PA"
"2582","1981","62,701","64,850","PA"
"2583","1982","60,772","64,060","PA"
"2584","1983","59,288","","PA"
"2585","1984","59,258","60,680","PA"
"2586","1985","53,465","57,370","PA"
"2587","1986","51,666","","PA"
"2588","1987","51,630","51,800","PA"
"2589","1988","50,786","51,830","PA"
"2590","1989","51,341","","PA"
"2591","1990","52,143","","PA"
"2592","1991","50,988","51,780","PA"
"2593","1992","49,042","49,740","PA"
"2594","1993","47,926","","PA"
"2595","1994","41,645","","PA"
"2596","1995","39,050","40,760","PA"
"2597","1996","38,004","39,520","PA"
"2598","1997","37,135","","PA"
"2599","1998","35,617","","PA"
"2600","1999","34,494","(35,200)","PA"
"2601","2000","35,630","36,570","PA"
"2602","2001","36,820","","PA"
"2603","2002","35,167","","PA"
"2604","2003","36,908","","PA"
"2605","2004","36,030","(35,600)","PA"
"2606","2005","34,909","34,150","PA"
"2607","2006","36,731","","PA"
"2608","2007","36,663","36,190","PA"
"2609","2008","38,807","41,000","PA"
"2610","2009","37,284","","PA"
"2611","2010","36,778","38,650","PA"
"2612","2011","36,280","36,870","PA"
"2613","2012","34,536","","PA"
"2614","2013","32,108","32,370","PA"
"2615","2014","32,146","32,030","PA"
"2616","2015","31,818","","PA"
"2617","2016","30,881","","PA"
"2618","2017","","","PA"
"2619","2018","","","PA"
"2620","year","abortions, reported(CDC/state)","abortions(AGI)","PA"
"2621","year","total in state","abortions(AGI)","PA"
"2622","year","total in state","abortions(AGI)","RI"
"2623","1970","","","RI"
"2624","1971","","","RI"
"2625","1972","","","RI"
"2626","1973","","1,140","RI"
"2627","1974","2,867","2,910","RI"
"2628","1975","3,253","3,310","RI"
"2629","1976","3,863","3,890","RI"
"2630","1977","4,106","4,200","RI"
"2631","1978","4,497","4,570","RI"
"2632","1979","5,389","5,650","RI"
"2633","1980","6,625","6,640","RI"
"2634","1981","7,515","7,500","RI"
"2635","1982","7,703","3,770","RI"
"2636","1983","6,984","","RI"
"2637","1984","7,422","7,450","RI"
"2638","1985","7,778","7,770","RI"
"2639","1986","7,502","","RI"
"2640","1987","7,529","7,390","RI"
"2641","1988","7,616","7,190","RI"
"2642","1989","7,704","","RI"
"2643","1990","7,782","","RI"
"2644","1991","7,412","7,500","RI"
"2645","1992","6,667","6,990","RI"
"2646","1993","6,644","","RI"
"2647","1994","6,092","","RI"
"2648","1995","5,707","5,720","RI"
"2649","1996","5,437","5,420","RI"
"2650","1997","5,478","","RI"
"2651","1998","4,601","","RI"
"2652","1999","5,004","(5,190)","RI"
"2653","2000","5,413","5,600","RI"
"2654","2001","5,455","","RI"
"2655","2002","5,550","","RI"
"2656","2003","5,538","","RI"
"2657","2004","5,587","(5,730)","RI"
"2658","2005","5,091","5,290","RI"
"2659","2006","4,828","","RI"
"2660","2007","4,820","4,910","RI"
"2661","2008","4,502","5,000","RI"
"2662","2009","4,326","","RI"
"2663","2010","4,181","4,290","RI"
"2664","2011","4,165","4,210","RI"
"2665","2012","3,549","","RI"
"2666","2013","3,251","3,550","RI"
"2667","2014","2,990","3,580","RI"
"2668","2015","2,649","","RI"
"2669","2016","","","RI"
"2670","2017","","","RI"
"2671","2018","","","RI"
"2672","year","abortions, reported(CDC/state)","abortions(AGI)","RI"
"2673","year","total in state","abortions(AGI)","RI"
"2674","year","total in state","abortions(AGI)","SC"
"2675","1970","392","","SC"
"2676","1971","727","","SC"
"2677","1972","854","","SC"
"2678","1973","2,102","2,180","SC"
"2679","1974","3,760","5,120","SC"
"2680","1975","4,511","6,170","SC"
"2681","1976","5,702","5,750","SC"
"2682","1977","8,799","8,870","SC"
"2683","1978","9,969","13,050","SC"
"2684","1979","10,976","13,170","SC"
"2685","1980","12,274","13,660","SC"
"2686","1981","12,496","15,200","SC"
"2687","1982","12,616","16,140","SC"
"2688","1983","12,164","","SC"
"2689","1984","11,704","11,280","SC"
"2690","1985","11,578","11,200","SC"
"2691","1986","12,174","","SC"
"2692","1987","12,992","12,770","SC"
"2693","1988","14,133","14,160","SC"
"2694","1989","13,741","","SC"
"2695","1990","13,285","","SC"
"2696","1991","12,538","13,520","SC"
"2697","1992","11,008","12,190","SC"
"2698","1993","11,611","","SC"
"2699","1994","10,922","","SC"
"2700","1995","9,984","11,020","SC"
"2701","1996","9,326","9,940","SC"
"2702","1997","9,212","","SC"
"2703","1998","8,802","","SC"
"2704","1999","7,687","(8,470)","SC"
"2705","2000","7,527","8,210","SC"
"2706","2001","7,014","","SC"
"2707","2002","6,657","","SC"
"2708","2003","6,573","","SC"
"2709","2004","6,565","(6,600)","SC"
"2710","2005","6,716","7,080","SC"
"2711","2006","7,005","","SC"
"2712","2007","7,544","7,580","SC"
"2713","2008","7,187","7,300","SC"
"2714","2009","6,911","","SC"
"2715","2010","6,464","6,730","SC"
"2716","2011","6,379","6,620","SC"
"2717","2012","6,084","","SC"
"2718","2013","5,878","6,350","SC"
"2719","2014","5,714","6,040","SC"
"2720","2015","5,778","","SC"
"2721","2016","","","SC"
"2722","2017","","","SC"
"2723","2018","","","SC"
"2724","year","abortions, reported(CDC/state)","abortions(AGI)","SC"
"2725","year","total in state","abortions(AGI)","SC"
"2726","year","total in state","abortions(AGI)","SD"
"2727","1970","","","SD"
"2728","1971","","","SD"
"2729","1972","","","SD"
"2730","1973","","1,640","SD"
"2731","1974","1,601","1,630","SD"
"2732","1975","1,475","1,560","SD"
"2733","1976","1,561","1,600","SD"
"2734","1977","1,384","1,400","SD"
"2735","1978","1,396","1,400","SD"
"2736","1979","1,398","1,440","SD"
"2737","1980","1,308","1,360","SD"
"2738","1981","1,579","1,590","SD"
"2739","1982","1,693","1,170","SD"
"2740","1983","1,691","","SD"
"2741","1984","1,673","1,770","SD"
"2742","1985","1,577","1,650","SD"
"2743","1986","1,364","","SD"
"2744","1987","865","860","SD"
"2745","1988","898","900","SD"
"2746","1989","900","","SD"
"2747","1990","946","","SD"
"2748","1991","984","980","SD"
"2749","1992","1,038","1,040","SD"
"2750","1993","1,075","","SD"
"2751","1994","987","","SD"
"2752","1995","1,070","1,040","SD"
"2753","1996","901","1,030","SD"
"2754","1997","919","","SD"
"2755","1998","674","","SD"
"2756","1999","740","(730)","SD"
"2757","2000","878","870","SD"
"2758","2001","895","","SD"
"2759","2002","826","","SD"
"2760","2003","819","","SD"
"2761","2004","814","(800)","SD"
"2762","2005","805","790","SD"
"2763","2006","748","","SD"
"2764","2007","707","710","SD"
"2765","2008","848","850","SD"
"2766","2009","769","","SD"
"2767","2010","737","740","SD"
"2768","2011","597","600","SD"
"2769","2012","634","","SD"
"2770","2013","601","600","SD"
"2771","2014","551","550","SD"
"2772","2015","444","","SD"
"2773","2016","472","","SD"
"2774","2017","497","","SD"
"2775","2018","","","SD"
"2776","year","abortions, reported(CDC/state)","abortions(AGI)","SD"
"2777","year","total in state","abortions(AGI)","SD"
"2778","year","total in state","abortions(AGI)","TN"
"2779","1970","","","TN"
"2780","1971","","","TN"
"2781","1972","","","TN"
"2782","1973","","5,320","TN"
"2783","1974","7,406","15,800","TN"
"2784","1975","11,081","17,590","TN"
"2785","1976","16,967","22,940","TN"
"2786","1977","16,463","30,440","TN"
"2787","1978","18,889","23,040","TN"
"2788","1979","23,400","25,430","TN"
"2789","1980","23,278","25,590","TN"
"2790","1981","21,911","24,240","TN"
"2791","1982","20,729","26,100","TN"
"2792","1983","20,726","","TN"
"2793","1984","21,124","22,570","TN"
"2794","1985","21,069","22,350","TN"
"2795","1986","21,938","","TN"
"2796","1987","21,622","22,050","TN"
"2797","1988","21,592","22,090","TN"
"2798","1989","21,050","","TN"
"2799","1990","21,144","","TN"
"2800","1991","19,779","19,840","TN"
"2801","1992","18,029","19,060","TN"
"2802","1993","17,250","","TN"
"2803","1994","16,837","","TN"
"2804","1995","18,023","18,240","TN"
"2805","1996","17,989","17,990","TN"
"2806","1997","18,283","","TN"
"2807","1998","18,849","","TN"
"2808","1999","16,924","(18,100)","TN"
"2809","2000","17,479","19,010","TN"
"2810","2001","17,405","","TN"
"2811","2002","17,807","","TN"
"2812","2003","17,610","","TN"
"2813","2004","16,400","(18,200)","TN"
"2814","2005","16,178","18,140","TN"
"2815","2006","17,883","","TN"
"2816","2007","18,171","18,380","TN"
"2817","2008","18,253","19,550","TN"
"2818","2009","17,474","","TN"
"2819","2010","16,373","17,850","TN"
"2820","2011","16,115","16,720","TN"
"2821","2012","15,859","","TN"
"2822","2013","14,216","15,180","TN"
"2823","2014","12,373","13,880","TN"
"2824","2015","11,411","","TN"
"2825","2016","11,235","","TN"
"2826","2017","","","TN"
"2827","2018","","","TN"
"2828","year","abortions, reported(CDC/state)","abortions(AGI)","TN"
"2829","year","total in state","abortions(AGI)","TN"
"2830","year","total in state","abortions(AGI)","TX"
"2831","1957","","","TX"
"2832","1958","","","TX"
"2833","1959","","","TX"
"2834","1960","","","TX"
"2835","1961","","","TX"
"2836","1962","","","TX"
"2837","1963","","","TX"
"2838","1964","","","TX"
"2839","1965","","","TX"
"2840","1966","","","TX"
"2841","1967","","","TX"
"2842","1968","","","TX"
"2843","1969","","","TX"
"2844","1970","","","TX"
"2845","1971","","","TX"
"2846","1972","","","TX"
"2847","1973","","17,340","TX"
"2848","1974","35,382","37,710","TX"
"2849","1975","37,894","51,210","TX"
"2850","1976","50,493","60,710","TX"
"2851","1977","54,517","70,740","TX"
"2852","1978","63,953","83,280","TX"
"2853","1979","76,996","94,080","TX"
"2854","1980","84,459","102,000","TX"
"2855","1981","85,755","110,110","TX"
"2856","1982","80,453","105,820","TX"
"2857","1983","81,112","","TX"
"2858","1984","81,207","99,960","TX"
"2859","1985","80,211","100,820","TX"
"2860","1986","85,668","","TX"
"2861","1987","84,832","100,210","TX"
"2862","1988","81,474","100,690","TX"
"2863","1989","81,110","","TX"
"2864","1990","92,681","","TX"
"2865","1991","91,947","95,930","TX"
"2866","1992","91,289","97,400","TX"
"2867","1993","90,974","","TX"
"2868","1994","89,365","","TX"
"2869","1995","87,501","89,240","TX"
"2870","1996","91,619","91,270","TX"
"2871","1997","84,870","","TX"
"2872","1998","81,834","","TX"
"2873","1999","80,739","(84,100)","TX"
"2874","2000","76,121","89,160","TX"
"2875","2001","77,537","","TX"
"2876","2002","79,929","","TX"
"2877","2003","79,166","","TX"
"2878","2004","75,053","(85,210)","TX"
"2879","2005","77,374","85,760","TX"
"2880","2006","82,056","","TX"
"2881","2007","81,079","81,880","TX"
"2882","2008","81,591","84,610","TX"
"2883","2009","77,850","","TX"
"2884","2010","77,592","79,390","TX"
"2885","2011","72,470","73,200","TX"
"2886","2012","68,298","","TX"
"2887","2013","63,849","67,530","TX"
"2888","2014","54,902","55,230","TX"
"2889","2015","55,287","","TX"
"2890","2016","","","TX"
"2891","2017","","","TX"
"2892","2018","","","TX"
"2893","year","abortions, reported(CDC/state)","abortions(AGI)","TX"
"2894","year","total in state","abortions(AGI)","TX"
"2895","year","total in state","abortions(AGI)","UT"
"2896","1940","","","UT"
"2897","1941","","","UT"
"2898","1942","","","UT"
"2899","1943","","","UT"
"2900","1944","","","UT"
"2901","1945","","","UT"
"2902","1946","","","UT"
"2903","1947","","","UT"
"2904","1948","","","UT"
"2905","1949","","","UT"
"2906","1950","","","UT"
"2907","1951","","","UT"
"2908","1952","","","UT"
"2909","1953","","","UT"
"2910","1954","","","UT"
"2911","1955","","","UT"
"2912","1956","","","UT"
"2913","1957","","","UT"
"2914","1958","","","UT"
"2915","1959","","","UT"
"2916","1960","","","UT"
"2917","1961","","","UT"
"2918","1962","","","UT"
"2919","1963","","","UT"
"2920","1964","","","UT"
"2921","1965","","","UT"
"2922","1966","","","UT"
"2923","1967","","","UT"
"2924","1968","","","UT"
"2925","1969","","","UT"
"2926","1970","","","UT"
"2927","1971","","","UT"
"2928","1972","","","UT"
"2929","1973","","110","UT"
"2930","1974","1,189","1,480","UT"
"2931","1975","2,146","2,010","UT"
"2932","1976","2,542","2,590","UT"
"2933","1977","3,033","3,070","UT"
"2934","1978","3,130","3,150","UT"
"2935","1979","3,697","3,810","UT"
"2936","1980","4,086","4,200","UT"
"2937","1981","3,842","4,080","UT"
"2938","1982","3,987","4,180","UT"
"2939","1983","3,775","","UT"
"2940","1984","4,024","4,240","UT"
"2941","1985","4,129","4,440","UT"
"2942","1986","4,450","","UT"
"2943","1987","4,732","4,830","UT"
"2944","1988","4,732","5,030","UT"
"2945","1989","4,950","","UT"
"2946","1990","4,796","","UT"
"2947","1991","4,213","4,250","UT"
"2948","1992","3,941","3,940","UT"
"2949","1993","3,945","","UT"
"2950","1994","3,610","","UT"
"2951","1995","3,705","3,740","UT"
"2952","1996","3,639","3,700","UT"
"2953","1997","3,408","","UT"
"2954","1998","3,487","","UT"
"2955","1999","3,381","(3,280)","UT"
"2956","2000","3,509","3,510","UT"
"2957","2001","3,594","","UT"
"2958","2002","3,524","","UT"
"2959","2003","3,576","","UT"
"2960","2004","3,665","(3,610)","UT"
"2961","2005","3,556","3,630","UT"
"2962","2006","3,753","","UT"
"2963","2007","3,933","4,100","UT"
"2964","2008","3,911","4,000","UT"
"2965","2009","3,665","","UT"
"2966","2010","3,780","3,540","UT"
"2967","2011","3,386","3,290","UT"
"2968","2012","3,273","","UT"
"2969","2013","3,102","3,170","UT"
"2970","2014","2,948","2,960","UT"
"2971","2015","3,176","","UT"
"2972","2016","3,008","","UT"
"2973","2017","","","UT"
"2974","2018","","","UT"
"2975","year","abortions, reported(CDC/state)","abortions(AGI)","UT"
"2976","year","total in state","abortions(AGI)","UT"
"2977","year","total in state","abortions(AGI)","VT"
"2978","1960","","","VT"
"2979","1961","","","VT"
"2980","1962","","","VT"
"2981","1963","","","VT"
"2982","1964","","","VT"
"2983","1965","","","VT"
"2984","1966","","","VT"
"2985","1967","","","VT"
"2986","1968","","","VT"
"2987","1969","","","VT"
"2988","1970","","","VT"
"2989","1971","9","","VT"
"2990","1972","231","","VT"
"2991","1973","1,402","1,490","VT"
"2992","1974","1,930","1,860","VT"
"2993","1975","2,100","2,250","VT"
"2994","1976","2,322","2,750","VT"
"2995","1977","1,945","2,370","VT"
"2996","1978","2,588","3,290","VT"
"2997","1979","2,925","3,380","VT"
"2998","1980","3,227","3,760","VT"
"2999","1981","3,388","3,760","VT"
"3000","1982","3,498","3,710","VT"
"3001","1983","3,355","","VT"
"3002","1984","3,423","3,450","VT"
"3003","1985","3,497","3,430","VT"
"3004","1986","3,418","","VT"
"3005","1987","3,310","3,690","VT"
"3006","1988","3,309","3,580","VT"
"3007","1989","3,313","","VT"
"3008","1990","3,184","","VT"
"3009","1991","3,015","3,110","VT"
"3010","1992","2,778","2,900","VT"
"3011","1993","2,580","","VT"
"3012","1994","2,321","","VT"
"3013","1995","2,169","2,420","VT"
"3014","1996","2,139","2,300","VT"
"3015","1997","1,961","","VT"
"3016","1998","1,870","","VT"
"3017","1999","1,748","(1,730)","VT"
"3018","2000","1,781","1,660","VT"
"3019","2001","1,519","","VT"
"3020","2002","1,635","","VT"
"3021","2003","1,696","","VT"
"3022","2004","1,734","(1,720)","VT"
"3023","2005","1,620","1,490","VT"
"3024","2006","1,611","","VT"
"3025","2007","1,583","1,570","VT"
"3026","2008","1,494","1,510","VT"
"3027","2009","1,319","","VT"
"3028","2010","1,333","1,370","VT"
"3029","2011","1,355","1,370","VT"
"3030","2012","1,270","","VT"
"3031","2013","1,217","1,490","VT"
"3032","2014","1,235","1,400","VT"
"3033","2015","1,259","","VT"
"3034","2016","1,298","","VT"
"3035","2017","","","VT"
"3036","2018","","","VT"
"3037","year","abortions, reported(CDC/state)","abortions(AGI)","VT"
"3038","year","total in state","abortions(AGI)","VT"
"3039","year","total in state","abortions(AGI)","VA"
"3040","1970","","","VA"
"3041","1971","3,792","","VA"
"3042","1972","4,496","","VA"
"3043","1973","7,318","8,390","VA"
"3044","1974","14,372","16,500","VA"
"3045","1975","18,010","20,290","VA"
"3046","1976","22,635","25,180","VA"
"3047","1977","26,829","28,040","VA"
"3048","1978","30,442","30,370","VA"
"3049","1979","31,414","31,380","VA"
"3050","1980","31,958","31,760","VA"
"3051","1981","32,037","35,760","VA"
"3052","1982","31,869","34,880","VA"
"3053","1983","31,339","","VA"
"3054","1984","31,550","31,670","VA"
"3055","1985","31,951","34,180","VA"
"3056","1986","32,619","","VA"
"3057","1987","32,930","34,410","VA"
"3058","1988","34,029","35,420","VA"
"3059","1989","33,186","","VA"
"3060","1990","32,992","","VA"
"3061","1991","31,943","35,170","VA"
"3062","1992","29,641","35,020","VA"
"3063","1993","28,285","","VA"
"3064","1994","26,369","","VA"
"3065","1995","25,302","31,480","VA"
"3066","1996","25,770","29,940","VA"
"3067","1997","26,089","","VA"
"3068","1998","26,115","","VA"
"3069","1999","27,354","(28,960)","VA"
"3070","2000","27,999","28,780","VA"
"3071","2001","24,586","","VA"
"3072","2002","24,992","","VA"
"3073","2003","26,437","","VA"
"3074","2004","26,117","(26,340)","VA"
"3075","2005","26,309","26,520","VA"
"3076","2006","27,349","","VA"
"3077","2007","27,981","29,800","VA"
"3078","2008","28,698","28,520","VA"
"3079","2009","27,442","","VA"
"3080","2010","25,943","27,660","VA"
"3081","2011","25,413","27,110","VA"
"3082","2012","22,916","","VA"
"3083","2013","20,852","25,890","VA"
"3084","2014","20,187","21,080","VA"
"3085","2015","18,662","","VA"
"3086","2016","17,039","","VA"
"3087","2017","","","VA"
"3088","2018","","","VA"
"3089","year","abortions, reported(CDC/state)","abortions(AGI)","VA"
"3090","year","total in state","abortions(AGI)","VA"
"3091","year","total in state","abortions(AGI)","WA"
"3092","1930","","","WA"
"3093","1931","","","WA"
"3094","1932","","","WA"
"3095","1933","","","WA"
"3096","1934","","","WA"
"3097","1935","","","WA"
"3098","1936","","","WA"
"3099","1937","","","WA"
"3100","1938","","","WA"
"3101","1939","","","WA"
"3102","1940","","","WA"
"3103","1941","","","WA"
"3104","1942","","","WA"
"3105","1943","","","WA"
"3106","1944","","","WA"
"3107","1945","","","WA"
"3108","1946","","","WA"
"3109","1947","","","WA"
"3110","1948","","","WA"
"3111","1949","","","WA"
"3112","1950","","","WA"
"3113","1951","","","WA"
"3114","1952","","","WA"
"3115","1953","","","WA"
"3116","1954","","","WA"
"3117","1955","","","WA"
"3118","1956","","","WA"
"3119","1957","","","WA"
"3120","1958","","","WA"
"3121","1959","","","WA"
"3122","1960","","","WA"
"3123","1961","","","WA"
"3124","1962","","","WA"
"3125","1963","","","WA"
"3126","1964","","","WA"
"3127","1965","","","WA"
"3128","1966","","","WA"
"3129","1967","","","WA"
"3130","1968","","","WA"
"3131","1969","","","WA"
"3132","1970","527","","WA"
"3133","1971","14,347","","WA"
"3134","1972","17,767","","WA"
"3135","1973","17,319","17,270","WA"
"3136","1974","18,185","19,910","WA"
"3137","1975","20,963","20,890","WA"
"3138","1976","22,790","22,920","WA"
"3139","1977","26,939","31,310","WA"
"3140","1978","29,848","34,490","WA"
"3141","1979","29,710","35,580","WA"
"3142","1980","30,270","37,030","WA"
"3143","1981","30,978","35,250","WA"
"3144","1982","29,298","34,130","WA"
"3145","1983","27,856","","WA"
"3146","1984","27,783","29,510","WA"
"3147","1985","26,581","30,990","WA"
"3148","1986","27,947","","WA"
"3149","1987","30,172","29,840","WA"
"3150","1988","29,802","31,220","WA"
"3151","1989","30,452","","WA"
"3152","1990","31,443","","WA"
"3153","1991","30,243","32,640","WA"
"3154","1992","27,573","33,190","WA"
"3155","1993","27,558","","WA"
"3156","1994","25,965","","WA"
"3157","1995","25,075","25,190","WA"
"3158","1996","26,138","26,340","WA"
"3159","1997","26,932","","WA"
"3160","1998","25,327","","WA"
"3161","1999","25,523","(26,300)","WA"
"3162","2000","25,692","26,200","WA"
"3163","2001","25,620","","WA"
"3164","2002","25,148","","WA"
"3165","2003","25,084","","WA"
"3166","2004","24,664","(23,900)","WA"
"3167","2005","24,108","23,260","WA"
"3168","2006","24,631","","WA"
"3169","2007","24,850","24,860","WA"
"3170","2008","24,297","24,320","WA"
"3171","2009","22,672","","WA"
"3172","2010","21,124","22,240","WA"
"3173","2011","20,225","21,880","WA"
"3174","2012","18,386","","WA"
"3175","2013","17,592","19,190","WA"
"3176","2014","17,710","19,230","WA"
"3177","2015","17,098","","WA"
"3178","2016","17,080","","WA"
"3179","2017","","","WA"
"3180","2018","","","WA"
"3181","year","abortions, reported(CDC/state)","abortions(AGI)","WA"
"3182","year","total in state","abortions(AGI)","WA"
"3183","year","total in state","abortions(AGI)","WV"
"3184","1950","","","WV"
"3185","1951","","","WV"
"3186","1952","","","WV"
"3187","1953","","","WV"
"3188","1954","","","WV"
"3189","1955","","","WV"
"3190","1956","","","WV"
"3191","1957","","","WV"
"3192","1958","","","WV"
"3193","1959","","","WV"
"3194","1960","","","WV"
"3195","1961","","","WV"
"3196","1962","","","WV"
"3197","1963","","","WV"
"3198","1964","","","WV"
"3199","1965","","","WV"
"3200","1966","","","WV"
"3201","1967","","","WV"
"3202","1968","","","WV"
"3203","1969","","","WV"
"3204","1970","","","WV"
"3205","1971","","","WV"
"3206","1972","","","WV"
"3207","1973","","50","WV"
"3208","1974","25","30","WV"
"3209","1975","96","100","WV"
"3210","1976","979","970","WV"
"3211","1977","2,147","2,230","WV"
"3212","1978","2,758","2,840","WV"
"3213","1979","2,954","3,100","WV"
"3214","1980","3,057","3,000","WV"
"3215","1981","2,640","3,100","WV"
"3216","1982","2,725","3,420","WV"
"3217","1983","2,821","","WV"
"3218","1984","3,347","4,680","WV"
"3219","1985","3,326","4,590","WV"
"3220","1986","3,372","","WV"
"3221","1987","3,189","2,990","WV"
"3222","1988","3,467","3,270","WV"
"3223","1989","3,036","","WV"
"3224","1990","2,500","","WV"
"3225","1991","1,598","2,590","WV"
"3226","1992","2,812","3,140","WV"
"3227","1993","2,619","","WV"
"3228","1994","2,085","","WV"
"3229","1995","2,666","3,050","WV"
"3230","1996","2,470","2,610","WV"
"3231","1997","2,808","","WV"
"3232","1998","2,738","","WV"
"3233","1999","2,498","(2,500)","WV"
"3234","2000","2,549","2,540","WV"
"3235","2001","2,332","","WV"
"3236","2002","2,049","","WV"
"3237","2003","","","WV"
"3238","2004","1,945","(2,420)","WV"
"3239","2005","1,674","2,360","WV"
"3240","2006","2,037","","WV"
"3241","2007","1,853","2,230","WV"
"3242","2008","1,983","2,280","WV"
"3243","2009","1,772","","WV"
"3244","2010","1,999","2,540","WV"
"3245","2011","1,837","2,390","WV"
"3246","2012","1,828","","WV"
"3247","2013","1,876","2,070","WV"
"3248","2014","1,730","2,020","WV"
"3249","2015","1,519","","WV"
"3250","2016","","","WV"
"3251","2017","","","WV"
"3252","2018","","","WV"
"3253","year","abortions, reported(CDC/state)","abortions(AGI)","WV"
"3254","year","total in state","abortions(AGI)","WV"
"3255","year","total in state","abortions(AGI)","WI"
"3256","1970","","","WI"
"3257","1971","","","WI"
"3258","1972","7,427","","WI"
"3259","1973","","8,160","WI"
"3260","1974","10,920","10,730","WI"
"3261","1975","12,319","11,310","WI"
"3262","1976","14,243","14,450","WI"
"3263","1977","16,133","16,140","WI"
"3264","1978","17,764","17,510","WI"
"3265","1979","20,035","20,240","WI"
"3266","1980","21,754","21,790","WI"
"3267","1981","20,819","21,360","WI"
"3268","1982","19,412","20,380","WI"
"3269","1983","18,866","","WI"
"3270","1984","18,836","18,640","WI"
"3271","1985","17,309","17,830","WI"
"3272","1986","17,454","","WI"
"3273","1987","17,318","18,330","WI"
"3274","1988","17,986","18,040","WI"
"3275","1989","17,575","","WI"
"3276","1990","16,848","","WI"
"3277","1991","16,237","15,510","WI"
"3278","1992","15,549","15,450","WI"
"3279","1993","14,671","","WI"
"3280","1994","13,396","","WI"
"3281","1995","12,782","13,300","WI"
"3282","1996","13,673","14,160","WI"
"3283","1997","13,218","","WI"
"3284","1998","11,681","","WI"
"3285","1999","11,013","(11,400)","WI"
"3286","2000","11,040","11,130","WI"
"3287","2001","10,925","","WI"
"3288","2002","10,489","","WI"
"3289","2003","10,557","","WI"
"3290","2004","9,943","(9,700)","WI"
"3291","2005","9,817","9,800","WI"
"3292","2006","9,580","","WI"
"3293","2007","8,267","8,270","WI"
"3294","2008","8,229","8,230","WI"
"3295","2009","8,542","","WI"
"3296","2010","7,825","8,080","WI"
"3297","2011","7,249","7,640","WI"
"3298","2012","6,927","","WI"
"3299","2013","6,462","6,410","WI"
"3300","2014","5,800","6,050","WI"
"3301","2015","5,660","","WI"
"3302","2016","5,612","","WI"
"3303","2017","","","WI"
"3304","2018","","","WI"
"3305","year","abortions, reported(CDC/state)","abortions(AGI)","WI"
"3306","year","total in state","abortions(AGI)","WI"
